=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BWVdQ7cAXRQCgwpY4BmNcATwYFoMA6AThMwpGuOPgYBGAVkIix8RgLIy89eJJZlhVWnLgA2Fu3hduADmIsse2arjrSKa9rpG4J3mXQBjBuADEAOxBweBSKBg2BHYsPvD+XgmJoZYoAEyRDPwaaRlqMb6BwUHJDhHOuuKGnDy8+XF+iUlh4rl29uBkLeW2CFXGPMgslTgqURboBjjdUczoru4ClcKjEosoyqK2CiwGGxUCBlo0dFEGc9Vm4+CV1itqB46UxxDzNZ7gseh+AIa-fyXXcKtSreAqNBIAyrpO5wLITHIwkEfAp-f4PMrPWxI158OpfcE+NYtRHtAxdTFRXrnfrcQboVLkGFXALkaYMWZsC5w8AM5abKLtBl7LYCFnCgWioRPHS2M6cmnmAQM2781YsFlOTE4jx4-xFYpKoGI3UNcEAhnQ1Xwbksy0VE36gIAlkYmUCvpuGomgnmlDEq1tSXkt0MKnyz20gTMEYBq6mVkU9kehYsZh8-ap9atbboePitW5qVs+BynGKzMqjOFzUy7XvT7+VG-AHMCLG0H1H1RhEB7nxu1Yk1N74A+Ouk4SZNejv4s3d-0Vdrx4MT+BhnFhhs-JsA3ox3RXWpTRPyKd8AS9dNYi9ZmE58C1fP3Fi1I61i6mG9tgPtXoDqLcrU-4Fg+QLFtE1IRtyvQLli7S1Cuuh6NwqTvNq3pziwvSVrYPCHo8FAUEAA
13:34:06: [INFO] Add SW9 footprint
13:34:06: [INFO] Add D9 footprint
13:34:06: [INFO] Add SW10 footprint
13:34:06: [INFO] Add D10 footprint
13:34:06: [INFO] Add SW11 footprint
13:34:06: [INFO] Add D11 footprint
13:34:06: [INFO] Add SW12 footprint
13:34:06: [INFO] Add D12 footprint
13:34:06: [INFO] Add SW13 footprint
13:34:06: [INFO] Add D13 footprint
13:34:06: [INFO] Add SW14 footprint
13:34:06: [INFO] Add D14 footprint
13:34:07: [INFO] Add SW15 footprint
13:34:07: [INFO] Add D15 footprint
13:34:07: [INFO] Add SW16 footprint
13:34:07: [INFO] Add D16 footprint
13:34:07: [INFO] Add SW17 footprint
13:34:07: [INFO] Add D17 footprint
13:34:07: [INFO] Add SW18 footprint
13:34:07: [INFO] Add D18 footprint
13:34:07: [INFO] Add SW19 footprint
13:34:07: [INFO] Add D19 footprint
13:34:07: [INFO] Add SW20 footprint
13:34:07: [INFO] Add D20 footprint
13:34:07: [INFO] Add SW21 footprint
13:34:07: [INFO] Add D21 footprint
13:34:07: [INFO] Add SW22 footprint
13:34:07: [INFO] Add D22 footprint
13:34:07: [INFO] Add SW23 footprint
13:34:07: [INFO] Add D23 footprint
13:34:07: [INFO] Add SW24 footprint
13:34:07: [INFO] Add D24 footprint
13:34:07: [INFO] Add SW25 footprint
13:34:07: [INFO] Add D25 footprint
13:34:07: [INFO] Add SW26 footprint
13:34:07: [INFO] Add D26 footprint
13:34:07: [INFO] Add SW27 footprint
13:34:07: [INFO] Add D27 footprint
13:34:07: [INFO] Add SW28 footprint
13:34:07: [INFO] Add D28 footprint
13:34:07: [INFO] Add SW29 footprint
13:34:07: [INFO] Add D29 footprint
13:34:07: [INFO] Add SW30 footprint
13:34:08: [INFO] Add D30 footprint
13:34:08: [INFO] Add SW31 footprint
13:34:08: [INFO] Add D31 footprint
13:34:08: [INFO] Add SW32 footprint
13:34:08: [INFO] Add D32 footprint
13:34:08: [INFO] Add SW33 footprint
13:34:08: [INFO] Add D33 footprint
13:34:08: [INFO] Add SW34 footprint
13:34:08: [INFO] Add D34 footprint
13:34:08: [INFO] Add SW35 footprint
13:34:08: [INFO] Add D35 footprint
13:34:08: [INFO] Add SW36 footprint
13:34:08: [INFO] Add D36 footprint
13:34:08: [INFO] Add SW37 footprint
13:34:08: [INFO] Add D37 footprint
13:34:08: [INFO] Add SW38 footprint
13:34:08: [INFO] Add D38 footprint
13:34:08: [INFO] Add SW39 footprint
13:34:08: [INFO] Add D39 footprint
13:34:08: [INFO] Add SW40 footprint
13:34:08: [INFO] Add D40 footprint
13:34:08: [INFO] Add SW41 footprint
13:34:08: [INFO] Add D41 footprint
13:34:08: [INFO] Add SW42 footprint
13:34:08: [INFO] Add D42 footprint
13:34:08: [INFO] Add SW43 footprint
13:34:08: [INFO] Add D43 footprint
13:34:08: [INFO] Add SW44 footprint
13:34:08: [INFO] Add D44 footprint
13:34:08: [INFO] Add SW45 footprint
13:34:08: [INFO] Add D45 footprint
13:34:08: [INFO] Add SW46 footprint
13:34:09: [INFO] Add D46 footprint
13:34:09: [INFO] Add SW47 footprint
13:34:09: [INFO] Add D47 footprint
13:34:09: [INFO] Add SW48 footprint
13:34:09: [INFO] Add D48 footprint
13:34:09: [INFO] Add SW49 footprint
13:34:09: [INFO] Add D49 footprint
13:34:09: [INFO] Add SW50 footprint
13:34:09: [INFO] Add D50 footprint
13:34:09: [INFO] Add SW51 footprint
13:34:09: [INFO] Add D51 footprint
13:34:09: [INFO] Add SW52 footprint
13:34:09: [INFO] Add D52 footprint
13:34:09: [INFO] Add SW53 footprint
13:34:09: [INFO] Add D53 footprint
13:34:09: [INFO] Add SW54 footprint
13:34:09: [INFO] Add D54 footprint
13:34:09: [INFO] Add SW55 footprint
13:34:09: [INFO] Add D55 footprint
13:34:09: [INFO] Add SW56 footprint
13:34:09: [INFO] Add D56 footprint
13:34:09: [INFO] Add SW57 footprint
13:34:09: [INFO] Add D57 footprint
13:34:09: [INFO] Add SW58 footprint
13:34:09: [INFO] Add D58 footprint
13:34:09: [INFO] Add SW59 footprint
13:34:09: [INFO] Add D59 footprint
13:34:09: [INFO] Add SW60 footprint
13:34:09: [INFO] Add D60 footprint
13:34:09: [INFO] Add SW61 footprint
13:34:09: [INFO] Add D61 footprint
13:34:09: [INFO] Add SW62 footprint
13:34:10: [INFO] Add D62 footprint
13:34:10: [INFO] Add SW63 footprint
13:34:10: [INFO] Add D63 footprint
13:34:10: [INFO] Add SW64 footprint
13:34:10: [INFO] Add D64 footprint
13:34:10: [INFO] Add SW65 footprint
13:34:10: [INFO] Add D65 footprint
13:34:10: [INFO] Add SW66 footprint
13:34:10: [INFO] Add D66 footprint
13:34:10: [INFO] Add SW67 footprint
13:34:10: [INFO] Add D67 footprint
13:34:10: [INFO] Add SW68 footprint
13:34:10: [INFO] Add D68 footprint
13:34:10: [INFO] Add SW69 footprint
13:34:10: [INFO] Add D69 footprint
13:34:10: [INFO] Add SW70 footprint
13:34:10: [INFO] Add D70 footprint
13:34:10: [INFO] Detected layout convertible to matrix annotated keyboard
13:34:10: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:34:10: [INFO] Layout offset: (28575000, 28575000)
13:34:10: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:34:10: [INFO] Placing additional elements for SW70
13:34:10: [INFO] Placing additional elements for SW69
13:34:10: [INFO] Placing additional elements for SW68
13:34:10: [INFO] Placing additional elements for SW67
13:34:10: [INFO] Placing additional elements for SW66
13:34:10: [INFO] Placing additional elements for SW65
13:34:10: [INFO] Placing additional elements for SW64
13:34:10: [INFO] Placing additional elements for SW63
13:34:10: [INFO] Placing additional elements for SW62
13:34:10: [INFO] Placing additional elements for SW61
13:34:10: [INFO] Placing additional elements for SW60
13:34:10: [INFO] Placing additional elements for SW59
13:34:10: [INFO] Placing additional elements for SW58
13:34:10: [INFO] Placing additional elements for SW57
13:34:10: [INFO] Placing additional elements for SW56
13:34:10: [INFO] Placing additional elements for SW55
13:34:10: [INFO] Placing additional elements for SW54
13:34:10: [INFO] Placing additional elements for SW53
13:34:10: [INFO] Placing additional elements for SW52
13:34:10: [INFO] Placing additional elements for SW51
13:34:10: [INFO] Placing additional elements for SW50
13:34:10: [INFO] Placing additional elements for SW49
13:34:10: [INFO] Placing additional elements for SW48
13:34:10: [INFO] Placing additional elements for SW47
13:34:10: [INFO] Placing additional elements for SW46
13:34:10: [INFO] Placing additional elements for SW45
13:34:10: [INFO] Placing additional elements for SW44
13:34:10: [INFO] Placing additional elements for SW43
13:34:10: [INFO] Placing additional elements for SW42
13:34:10: [INFO] Placing additional elements for SW41
13:34:10: [INFO] Placing additional elements for SW40
13:34:10: [INFO] Placing additional elements for SW39
13:34:10: [INFO] Placing additional elements for SW38
13:34:10: [INFO] Placing additional elements for SW37
13:34:10: [INFO] Placing additional elements for SW36
13:34:10: [INFO] Placing additional elements for SW35
13:34:10: [INFO] Placing additional elements for SW34
13:34:10: [INFO] Placing additional elements for SW33
13:34:10: [INFO] Placing additional elements for SW32
13:34:10: [INFO] Placing additional elements for SW31
13:34:10: [INFO] Placing additional elements for SW30
13:34:10: [INFO] Placing additional elements for SW29
13:34:10: [INFO] Placing additional elements for SW28
13:34:10: [INFO] Placing additional elements for SW27
13:34:10: [INFO] Placing additional elements for SW26
13:34:10: [INFO] Placing additional elements for SW25
13:34:10: [INFO] Placing additional elements for SW24
13:34:10: [INFO] Placing additional elements for SW23
13:34:10: [INFO] Placing additional elements for SW22
13:34:10: [INFO] Placing additional elements for SW21
13:34:10: [INFO] Placing additional elements for SW20
13:34:10: [INFO] Placing additional elements for SW19
13:34:10: [INFO] Placing additional elements for SW18
13:34:10: [INFO] Placing additional elements for SW17
13:34:10: [INFO] Placing additional elements for SW16
13:34:10: [INFO] Placing additional elements for SW15
13:34:10: [INFO] Placing additional elements for SW14
13:34:10: [INFO] Placing additional elements for SW13
13:34:10: [INFO] Placing additional elements for SW12
13:34:10: [INFO] Placing additional elements for SW11
13:34:10: [INFO] Placing additional elements for SW10
13:34:10: [INFO] Placing additional elements for SW9
13:34:10: [INFO] Placing additional elements for SW8
13:34:10: [INFO] Placing additional elements for SW7
13:34:10: [INFO] Placing additional elements for SW6
13:34:10: [INFO] Placing additional elements for SW5
13:34:10: [INFO] Placing additional elements for SW4
13:34:10: [INFO] Placing additional elements for SW3
13:34:10: [INFO] Placing additional elements for SW2
13:34:10: [INFO] Placing additional elements for SW1
13:34:10: [INFO] Routing SW70 with D70
13:34:10: [INFO] Using internal autorouter method
