=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsRAHEQJxFIzwDeoA7qAFxxIB0lYgF94iJCgC6kAFDB2XXgPQixSaFnUo1kTDtw7CO0joo7qOujsY7mqBTz79VCLVNnzQAD0fhnYxScVUQR0DTEw7VDdLDCDaKNok2izaItoq2ibOAclZxDQSJhpOXYfPKEAxwEXUGxkAB0AO2bmqBYczkcyfmCxeuJWlqb2+y682vr6IbaNEs9yp0qEAE9fXuIqvL6EeqQZkeQsevQDqCjcuHQNgvr8M6O2cavBScgyB6i6yBpP48hpsNZlJJEA
13:33:41: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:41: [INFO] Matrix size: 3x11
13:33:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:41: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:41: [INFO] Add COL0 net
13:33:41: [INFO] Add COL1 net
13:33:41: [INFO] Add COL10 net
13:33:41: [INFO] Add COL11 net
13:33:41: [INFO] Add COL2 net
13:33:41: [INFO] Add COL3 net
13:33:41: [INFO] Add COL4 net
13:33:41: [INFO] Add COL5 net
13:33:41: [INFO] Add COL6 net
13:33:41: [INFO] Add COL7 net
13:33:41: [INFO] Add COL8 net
13:33:41: [INFO] Add COL9 net
13:33:41: [INFO] Add Net-(D1-A) net
13:33:41: [INFO] Add Net-(D10-A) net
13:33:41: [INFO] Add Net-(D11-A) net
13:33:41: [INFO] Add Net-(D12-A) net
13:33:41: [INFO] Add Net-(D13-A) net
13:33:41: [INFO] Add Net-(D14-A) net
13:33:41: [INFO] Add Net-(D15-A) net
13:33:41: [INFO] Add Net-(D16-A) net
13:33:41: [INFO] Add Net-(D17-A) net
13:33:41: [INFO] Add Net-(D18-A) net
13:33:41: [INFO] Add Net-(D19-A) net
13:33:41: [INFO] Add Net-(D2-A) net
13:33:41: [INFO] Add Net-(D20-A) net
13:33:41: [INFO] Add Net-(D21-A) net
13:33:41: [INFO] Add Net-(D22-A) net
13:33:41: [INFO] Add Net-(D23-A) net
13:33:41: [INFO] Add Net-(D24-A) net
13:33:41: [INFO] Add Net-(D25-A) net
13:33:41: [INFO] Add Net-(D26-A) net
13:33:41: [INFO] Add Net-(D27-A) net
13:33:41: [INFO] Add Net-(D28-A) net
13:33:41: [INFO] Add Net-(D29-A) net
13:33:41: [INFO] Add Net-(D3-A) net
13:33:41: [INFO] Add Net-(D30-A) net
13:33:41: [INFO] Add Net-(D31-A) net
13:33:41: [INFO] Add Net-(D32-A) net
13:33:41: [INFO] Add Net-(D33-A) net
13:33:41: [INFO] Add Net-(D34-A) net
13:33:41: [INFO] Add Net-(D35-A) net
13:33:41: [INFO] Add Net-(D36-A) net
13:33:41: [INFO] Add Net-(D37-A) net
13:33:41: [INFO] Add Net-(D38-A) net
13:33:41: [INFO] Add Net-(D39-A) net
13:33:41: [INFO] Add Net-(D4-A) net
13:33:41: [INFO] Add Net-(D40-A) net
13:33:41: [INFO] Add Net-(D41-A) net
13:33:41: [INFO] Add Net-(D42-A) net
13:33:41: [INFO] Add Net-(D5-A) net
13:33:41: [INFO] Add Net-(D6-A) net
13:33:41: [INFO] Add Net-(D7-A) net
13:33:41: [INFO] Add Net-(D8-A) net
13:33:41: [INFO] Add Net-(D9-A) net
13:33:41: [INFO] Add ROW0 net
13:33:41: [INFO] Add ROW1 net
13:33:41: [INFO] Add ROW2 net
13:33:41: [INFO] Add ROW3 net
13:33:41: [INFO] Add SW1 footprint
13:33:41: [INFO] Add D1 footprint
13:33:41: [INFO] Add SW2 footprint
13:33:41: [INFO] Add D2 footprint
13:33:41: [INFO] Add SW3 footprint
13:33:41: [INFO] Add D3 footprint
13:33:41: [INFO] Add SW4 footprint
13:33:41: [INFO] Add D4 footprint
13:33:42: [INFO] Add SW5 footprint
13:33:42: [INFO] Add D5 footprint
13:33:42: [INFO] Add SW6 footprint
13:33:42: [INFO] Add D6 footprint
13:33:42: [INFO] Add SW7 footprint
13:33:42: [INFO] Add D7 footprint
13:33:42: [INFO] Add SW8 footprint
13:33:42: [INFO] Add D8 footprint
13:33:42: [INFO] Add SW9 footprint
13:33:42: [INFO] Add D9 footprint
13:33:42: [INFO] Add SW10 footprint
13:33:42: [INFO] Add D10 footprint
13:33:42: [INFO] Add SW11 footprint
13:33:42: [INFO] Add D11 footprint
13:33:42: [INFO] Add SW12 footprint
13:33:42: [INFO] Add D12 footprint
13:33:42: [INFO] Add SW13 footprint
13:33:42: [INFO] Add D13 footprint
13:33:42: [INFO] Add SW14 footprint
13:33:42: [INFO] Add D14 footprint
13:33:42: [INFO] Add SW15 footprint
13:33:42: [INFO] Add D15 footprint
13:33:42: [INFO] Add SW16 footprint
13:33:42: [INFO] Add D16 footprint
13:33:42: [INFO] Add SW17 footprint
13:33:42: [INFO] Add D17 footprint
13:33:42: [INFO] Add SW18 footprint
13:33:42: [INFO] Add D18 footprint
13:33:42: [INFO] Add SW19 footprint
13:33:42: [INFO] Add D19 footprint
13:33:42: [INFO] Add SW20 footprint
13:33:42: [INFO] Add D20 footprint
13:33:42: [INFO] Add SW21 footprint
13:33:42: [INFO] Add D21 footprint
13:33:42: [INFO] Add SW22 footprint
13:33:42: [INFO] Add D22 footprint
13:33:42: [INFO] Add SW23 footprint
13:33:43: [INFO] Add D23 footprint
13:33:43: [INFO] Add SW24 footprint
13:33:43: [INFO] Add D24 footprint
13:33:43: [INFO] Add SW25 footprint
13:33:43: [INFO] Add D25 footprint
13:33:43: [INFO] Add SW26 footprint
13:33:43: [INFO] Add D26 footprint
13:33:43: [INFO] Add SW27 footprint
13:33:43: [INFO] Add D27 footprint
13:33:43: [INFO] Add SW28 footprint
13:33:43: [INFO] Add D28 footprint
13:33:43: [INFO] Add SW29 footprint
13:33:43: [INFO] Add D29 footprint
13:33:43: [INFO] Add SW30 footprint
13:33:43: [INFO] Add D30 footprint
13:33:43: [INFO] Add SW31 footprint
13:33:43: [INFO] Add D31 footprint
13:33:43: [INFO] Add SW32 footprint
