=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:06: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIJwbgDGu4AxAOzU3gC+RCaC4AumgFBhS4DMSldJhzwAtMnxCSZcsTnz6RAIxol4DBGjwAHEgAsDTEwBsbTty1wlAqSLjiCKQ+BUtGq9XE24lyA8rRTDWl4CgBDCMjPcAB3XAAmZz1AgB0AO3T0pjcvHnhkXiciZONMjLSmNSJtVTKsj3Yub3ykeNtcBxVMUlDZeTlFTHjmMya8q14iOwdJZ0mUUYsfVCmOiSkezHJIqKI4+GsizEmciE2KfoHnYarcy18kBGvA6Mmg3P2rVGd0U0buabIJRJEb-ZpfNqrMQSIjnbY7MLRT7WQQ-EbBOGXUgg27g-D6NELIjGF4YmQ0Wh7BKtI7gSgvMHjLohLYIxFU+DxGnOEmnFkXS6DOnou64XTaWkkomYenSs4yNlI5ao6qkzCEP7mcHM5HfVV8+7WCUcr60mp6aKEC3Be6PZyEBaMgBOdmQkMw92MSGNwlwehszhqjq14CdPmGmBduCYHtwKCQzMxgucTHi0RUafcvHTaGzjMs-uMcw8RGGmeOaHL4GGeZDBe9tPQt3AySr6CryVrY0s8d4PJLMoH4BJVfpafzuC9KCkn0SqvL4OQCA2CoRSoO3KIhHHdbjUPsyG0hEwutphDUzo6Sgj410enaYkOiZkWKFTGtmBUH-ATGlLjQwbdmKjy0pM2almg36TN+wyAUsOitGi4GYMk37oN+yRweClABsSubRPSyHDpBBEkRO8A4YIJpciqmA1F28FWMg077jMsKrjs66mva+GsKwQA
13:31:06: [INFO] Add ROW0 net
13:31:06: [INFO] Add ROW1 net
13:31:06: [INFO] Add ROW2 net
13:31:06: [INFO] Add ROW3 net
13:31:06: [INFO] Add ROW4 net
13:31:06: [INFO] Add ROW5 net
13:31:06: [INFO] Add ROW6 net
13:31:06: [INFO] Add ROW7 net
13:31:06: [INFO] Add ROW8 net
13:31:06: [INFO] Add ROW9 net
13:31:06: [INFO] Add SW1 footprint
13:31:06: [INFO] Add D1 footprint
13:31:06: [INFO] Add SW2 footprint
13:31:06: [INFO] Add D2 footprint
13:31:06: [INFO] Add SW3 footprint
13:31:06: [INFO] Add D3 footprint
13:31:06: [INFO] Add SW4 footprint
13:31:06: [INFO] Add D4 footprint
13:31:06: [INFO] Add SW5 footprint
13:31:06: [INFO] Add D5 footprint
13:31:07: [INFO] Add SW6 footprint
13:31:07: [INFO] Add D6 footprint
13:31:07: [INFO] Add SW7 footprint
13:31:07: [INFO] Add D7 footprint
13:31:07: [INFO] Add SW8 footprint
13:31:07: [INFO] Add D8 footprint
13:31:07: [INFO] Add SW9 footprint
13:31:07: [INFO] Add D9 footprint
13:31:07: [INFO] Add SW10 footprint
13:31:07: [INFO] Add D10 footprint
13:31:07: [INFO] Add SW11 footprint
13:31:07: [INFO] Add D11 footprint
13:31:07: [INFO] Add SW12 footprint
13:31:07: [INFO] Add D12 footprint
13:31:07: [INFO] Add SW13 footprint
13:31:07: [INFO] Add D13 footprint
13:31:07: [INFO] Add SW14 footprint
13:31:07: [INFO] Add D14 footprint
13:31:07: [INFO] Add SW15 footprint
13:31:07: [INFO] Add D15 footprint
13:31:07: [INFO] Add SW16 footprint
13:31:07: [INFO] Add D16 footprint
13:31:07: [INFO] Add SW17 footprint
13:31:07: [INFO] Add D17 footprint
13:31:07: [INFO] Add SW18 footprint
13:31:07: [INFO] Add D18 footprint
13:31:07: [INFO] Add SW19 footprint
13:31:07: [INFO] Add D19 footprint
13:31:07: [INFO] Add SW20 footprint
13:31:07: [INFO] Add D20 footprint
13:31:07: [INFO] Add SW21 footprint
13:31:07: [INFO] Add D21 footprint
13:31:07: [INFO] Add SW22 footprint
13:31:07: [INFO] Add D22 footprint
13:31:07: [INFO] Add SW23 footprint
13:31:07: [INFO] Add D23 footprint
13:31:07: [INFO] Add SW24 footprint
13:31:07: [INFO] Add D24 footprint
13:31:08: [INFO] Add SW25 footprint
13:31:08: [INFO] Add D25 footprint
13:31:08: [INFO] Add SW26 footprint
13:31:08: [INFO] Add D26 footprint
13:31:08: [INFO] Add SW27 footprint
13:31:08: [INFO] Add D27 footprint
13:31:08: [INFO] Add SW28 footprint
13:31:08: [INFO] Add D28 footprint
13:31:08: [INFO] Add SW29 footprint
13:31:08: [INFO] Add D29 footprint
13:31:08: [INFO] Add SW30 footprint
13:31:08: [INFO] Add D30 footprint
13:31:08: [INFO] Add SW31 footprint
13:31:08: [INFO] Add D31 footprint
13:31:08: [INFO] Add SW32 footprint
13:31:08: [INFO] Add D32 footprint
13:31:08: [INFO] Add SW33 footprint
13:31:08: [INFO] Add D33 footprint
13:31:08: [INFO] Add SW34 footprint
13:31:08: [INFO] Add D34 footprint
13:31:08: [INFO] Add SW35 footprint
13:31:08: [INFO] Add D35 footprint
13:31:08: [INFO] Add ST35 footprint
13:31:08: [INFO] Add SW35a footprint
13:31:08: [INFO] Add SW36 footprint
13:31:08: [INFO] Add D36 footprint
13:31:08: [INFO] Add SW37 footprint
13:31:08: [INFO] Add D37 footprint
13:31:08: [INFO] Add SW38 footprint
13:31:08: [INFO] Add D38 footprint
13:31:08: [INFO] Add SW39 footprint
13:31:08: [INFO] Add D39 footprint
13:31:08: [INFO] Add SW40 footprint
13:31:08: [INFO] Add D40 footprint
13:31:08: [INFO] Add SW41 footprint
13:31:08: [INFO] Add D41 footprint
13:31:08: [INFO] Add SW42 footprint
13:31:08: [INFO] Add D42 footprint
13:31:09: [INFO] Add SW43 footprint
13:31:09: [INFO] Add D43 footprint
13:31:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:09: [INFO] Add ST43 footprint
13:31:09: [INFO] Add SW44 footprint
13:31:09: [INFO] Add D44 footprint
13:31:09: [INFO] Add SW45 footprint
13:31:09: [INFO] Add D45 footprint
13:31:09: [INFO] Add SW46 footprint
13:31:09: [INFO] Add D46 footprint
13:31:09: [INFO] Add SW47 footprint
13:31:09: [INFO] Add D47 footprint
13:31:09: [INFO] Add SW48 footprint
13:31:09: [INFO] Add D48 footprint
13:31:09: [INFO] Add SW49 footprint
13:31:09: [INFO] Add D49 footprint
13:31:09: [INFO] Add SW50 footprint
13:31:09: [INFO] Add D50 footprint
13:31:09: [INFO] Add SW51 footprint
13:31:09: [INFO] Add D51 footprint
13:31:09: [INFO] Add SW52 footprint
13:31:09: [INFO] Add D52 footprint
13:31:09: [INFO] Add SW53 footprint
13:31:09: [INFO] Add D53 footprint
13:31:09: [INFO] Add SW54 footprint
13:31:09: [INFO] Add D54 footprint
13:31:09: [INFO] Add SW55 footprint
13:31:09: [INFO] Add D55 footprint
13:31:09: [INFO] Add SW56 footprint
13:31:09: [INFO] Add D56 footprint
13:31:09: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:09: [INFO] Add ST56 footprint
13:31:09: [INFO] Add SW57 footprint
13:31:09: [INFO] Add D57 footprint
13:31:09: [INFO] Add SW58 footprint
13:31:09: [INFO] Add D58 footprint
13:31:09: [INFO] Add SW59 footprint
13:31:09: [INFO] Add D59 footprint
13:31:09: [INFO] Add ST59 footprint
13:31:09: [INFO] Add SW60 footprint
13:31:10: [INFO] Add D60 footprint
13:31:10: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:10: [INFO] Add ST60 footprint
13:31:10: [INFO] Add SW61 footprint
13:31:10: [INFO] Add D61 footprint
13:31:10: [INFO] Add SW62 footprint
13:31:10: [INFO] Add D62 footprint
13:31:10: [INFO] Add SW63 footprint
13:31:10: [INFO] Add D63 footprint
13:31:10: [INFO] Add SW64 footprint
13:31:10: [INFO] Add D64 footprint
13:31:10: [INFO] Add SW65 footprint
13:31:10: [INFO] Add D65 footprint
13:31:10: [INFO] Add SW66 footprint
13:31:10: [INFO] Add D66 footprint
13:31:10: [INFO] Add SW67 footprint
13:31:10: [INFO] Add D67 footprint
13:31:10: [INFO] Add SW68 footprint
13:31:10: [INFO] Add D68 footprint
13:31:10: [INFO] Add SW69 footprint
13:31:10: [INFO] Add D69 footprint
13:31:10: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:10: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:10: [INFO] Layout offset: (38100000, 30480000)
13:31:10: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:10: [INFO] Placing additional elements for SW69
13:31:10: [INFO] Placing additional elements for SW68
13:31:10: [INFO] Placing additional elements for SW67
13:31:10: [INFO] Placing additional elements for SW66
13:31:10: [INFO] Placing additional elements for SW65
13:31:10: [INFO] Placing additional elements for SW64
13:31:10: [INFO] Placing additional elements for SW63
13:31:10: [INFO] Placing additional elements for SW62
13:31:10: [INFO] Placing additional elements for SW61
13:31:10: [INFO] Placing additional elements for SW60
13:31:10: [INFO] Placing additional elements for SW59
13:31:10: [INFO] Placing additional elements for SW58
13:31:10: [INFO] Placing additional elements for SW57
13:31:10: [INFO] Placing additional elements for SW56
13:31:10: [INFO] Placing additional elements for SW55
13:31:10: [INFO] Placing additional elements for SW54
13:31:10: [INFO] Placing additional elements for SW53
13:31:10: [INFO] Placing additional elements for SW52
13:31:10: [INFO] Placing additional elements for SW51
13:31:10: [INFO] Placing additional elements for SW50
13:31:10: [INFO] Placing additional elements for SW49
13:31:10: [INFO] Placing additional elements for SW48
