=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:25:53: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsA2ANHcBPWikBmFLcAY33AGIBDO+8Ugd3wEZUBfUhDBRuCNHisATElYlsLYZ24ZWhcAF0MAKDBR8yQgA5mbWdla9+ECvGpkr18FyPzTm4e0nlKtenX7hpcF3fBjBWU1DSECEUJ9GRQAkRMsQTYxHXipA1jSeOCVdST4ZAQAFmi-Q3AovkSnP0JxAE5S-1IonNCIACdwsVdwgFpkIpLsPAKiV3NsKmsbAJ5WELyagaQAdlXSUbKEOIdcsPwV+rQA1sWD+D72BQCShf3O8IkkEV7DsWLNrXG5+RFz-JwK5IHSrAJBf4PZbsMFZP4A8BdNiYbD9MQiDYjfB1YineFQtHiW749qItg8bBIgqkcJoF5pXDYpD1YzpeAiYloAA6ADtebzjFUBMtChzSCU+AT8HTXl8xplsCUUPy+Tygt4StzVQK9qSqXAGd0XgrwDxFFKZLKsZdkKDfv9qk8kDs5EUEeEisa5UDbTpfihvDw0O78OjXFsVq9wRhzaSnVbGTaQbD7A7hU6XfY3Ra4J6ExHfdGA9VJtRPF5SAALDLRrUqnhCwHAiluCzTGYUWsq3nzEPsr3Wn3G3axpbx8OHW0p8DxNOA9iZmcYbNx-B5idJnR+uHF7BROuq3s5lADxNDibucs0bzVmJ4g89kw5sPelarC9tjudloxvtlfOTsmeJzjUC54iuY5rqeBYgtue4YLuS4PjyR6rv2AFJlG4q-jm7AYUOdrYSBGbEhBGgdIcrAtvqLbhKsayNIOdKrFEbIGsSqzdjy8SSmhcD0e+3rICaJScdq3EONhOhcdkCL6qw640ocdRYdg8y8ZBlyKYOKyEWpGD1I4JFyKw9x8X0MobgRcGmhgqyBhgOh-n0KlWZGJpBBpFxAtpZ66dOxiGY6BiLkEZmaUClmvr6pClh4ng3jWpDGGJ9YJOmlHOrF7hfrYyV2Vxvb5U5OYudBgGqUuVHOb5MF6UuQUZTIi7ZOF3kWeVm42fEqWHpJ2DxCV5lRTpwnZW2V6JXeP69Y+XlNq50VrB+Uy5Xi1WlbVgH1VEjXzs661tU2I1+YWM2Ff1FSOc5i2jcO2EbeZW2btOJR7aBB0PfcShAA
14:25:53: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
14:25:53: [INFO] Matrix size: 4x13
14:25:54: [INFO] Add COL0 net
14:25:54: [INFO] Add COL1 net
14:25:54: [INFO] Add COL10 net
14:25:54: [INFO] Add COL11 net
14:25:54: [INFO] Add COL12 net
14:25:54: [INFO] Add COL13 net
14:25:54: [INFO] Add COL2 net
14:25:54: [INFO] Add COL3 net
14:25:54: [INFO] Add COL4 net
14:25:54: [INFO] Add COL5 net
14:25:54: [INFO] Add COL6 net
14:25:54: [INFO] Add COL7 net
14:25:54: [INFO] Add COL8 net
14:25:54: [INFO] Add COL9 net
14:25:54: [INFO] Add Net-(D1-A) net
14:25:54: [INFO] Add Net-(D10-A) net
14:25:54: [INFO] Add Net-(D11-A) net
14:25:54: [INFO] Add Net-(D12-A) net
14:25:54: [INFO] Add Net-(D13-A) net
14:25:54: [INFO] Add Net-(D14-A) net
14:25:54: [INFO] Add Net-(D15-A) net
14:25:54: [INFO] Add Net-(D16-A) net
14:25:54: [INFO] Add Net-(D17-A) net
14:25:54: [INFO] Add Net-(D18-A) net
14:25:54: [INFO] Add Net-(D19-A) net
14:25:54: [INFO] Add Net-(D2-A) net
14:25:54: [INFO] Add Net-(D20-A) net
14:25:54: [INFO] Add Net-(D21-A) net
14:25:54: [INFO] Add Net-(D22-A) net
14:25:54: [INFO] Add Net-(D23-A) net
14:25:54: [INFO] Add Net-(D24-A) net
14:25:54: [INFO] Add Net-(D25-A) net
14:25:54: [INFO] Add Net-(D26-A) net
14:25:54: [INFO] Add Net-(D27-A) net
14:25:54: [INFO] Add Net-(D28-A) net
14:25:54: [INFO] Add Net-(D29-A) net
14:25:54: [INFO] Add Net-(D3-A) net
14:25:54: [INFO] Add Net-(D30-A) net
14:25:54: [INFO] Add Net-(D31-A) net
14:25:54: [INFO] Add Net-(D32-A) net
14:25:54: [INFO] Add Net-(D33-A) net
14:25:54: [INFO] Add Net-(D34-A) net
14:25:54: [INFO] Add Net-(D35-A) net
14:25:54: [INFO] Add Net-(D36-A) net
14:25:54: [INFO] Add Net-(D37-A) net
14:25:54: [INFO] Add Net-(D38-A) net
14:25:54: [INFO] Add Net-(D39-A) net
14:25:54: [INFO] Add Net-(D4-A) net
