=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwBo7gJ6zgBgHQCYBWAXxXCyQXBQmngE4TVyAOcAXSQCgwpM9SM8ALS4A7MVLk8VODUwBGRmSQAWGXPiil5Uet7xFkpHXZcetOAQGYROZuO1ICeixKZIAbKe4RBcWx6EpADGmOAAxACG0THgjlh6ofARwalpcUbyLgoIjvIJ1OBJqFEx0Rnu8lkcPvqI1sJiVqjFKWmpFeDyFNn0St2sNeZ8Df5N-UjShRaGqN1q05hapN26iwYTJkMalqO29m5dTr2WE17b6Da4gc1FYaVlnd0FsnfJ4e0dE1nrcPK5KyQ+RkRyq3mG8GQqD8tgcpH4lF+DHhSEGZh2-GhVxwcNQ-CmrxmSn4C0JS2JSDWZI2KK26LqtxhuAOFOcv0O-HO9KZOBuIXuZXKFJeEFaH0+nX4P2pfwBeKBIreJUFkUlQOq9IseBwjOxh2QBJ2+RwWCUyDptQAThYVKRLX5mDh5OJSBZbLrhCpebjwMhKBdrTlXXq9l6PD7kGirQpboH4LbUG7cB7-GGI6pwRBLZgEOREyGscJ5CazccAzZc3aZlC6u7Q979Z5M+Bs0XbkmdXti6bSMhdGw2EA
13:38:12: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:12: [INFO] Matrix size: 3x11
13:38:12: [INFO] Add COL0 net
13:38:12: [INFO] Add COL1 net
13:38:12: [INFO] Add COL10 net
13:38:12: [INFO] Add COL11 net
13:38:12: [INFO] Add COL2 net
13:38:12: [INFO] Add COL3 net
13:38:12: [INFO] Add COL4 net
13:38:12: [INFO] Add COL5 net
13:38:12: [INFO] Add COL6 net
13:38:12: [INFO] Add COL7 net
13:38:12: [INFO] Add COL8 net
13:38:12: [INFO] Add COL9 net
13:38:12: [INFO] Add Net-(D1-A) net
13:38:12: [INFO] Add Net-(D10-A) net
13:38:12: [INFO] Add Net-(D11-A) net
13:38:12: [INFO] Add Net-(D12-A) net
13:38:12: [INFO] Add Net-(D13-A) net
13:38:12: [INFO] Add Net-(D14-A) net
13:38:12: [INFO] Add Net-(D15-A) net
13:38:12: [INFO] Add Net-(D16-A) net
13:38:12: [INFO] Add Net-(D17-A) net
13:38:12: [INFO] Add Net-(D18-A) net
13:38:12: [INFO] Add Net-(D19-A) net
13:38:12: [INFO] Add Net-(D2-A) net
13:38:12: [INFO] Add Net-(D20-A) net
13:38:12: [INFO] Add Net-(D21-A) net
13:38:12: [INFO] Add Net-(D22-A) net
13:38:12: [INFO] Add Net-(D23-A) net
13:38:12: [INFO] Add Net-(D24-A) net
13:38:12: [INFO] Add Net-(D25-A) net
13:38:12: [INFO] Add Net-(D26-A) net
13:38:12: [INFO] Add Net-(D27-A) net
13:38:12: [INFO] Add Net-(D28-A) net
13:38:12: [INFO] Add Net-(D29-A) net
13:38:12: [INFO] Add Net-(D3-A) net
13:38:12: [INFO] Add Net-(D30-A) net
13:38:12: [INFO] Add Net-(D31-A) net
13:38:12: [INFO] Add Net-(D32-A) net
13:38:12: [INFO] Add Net-(D33-A) net
13:38:12: [INFO] Add Net-(D34-A) net
13:38:12: [INFO] Add Net-(D35-A) net
13:38:12: [INFO] Add Net-(D36-A) net
13:38:12: [INFO] Add Net-(D37-A) net
13:38:12: [INFO] Add Net-(D38-A) net
13:38:12: [INFO] Add Net-(D39-A) net
13:38:12: [INFO] Add Net-(D4-A) net
13:38:12: [INFO] Add Net-(D40-A) net
13:38:12: [INFO] Add Net-(D41-A) net
13:38:12: [INFO] Add Net-(D42-A) net
13:38:12: [INFO] Add Net-(D43-A) net
13:38:12: [INFO] Add Net-(D44-A) net
13:38:12: [INFO] Add Net-(D5-A) net
13:38:12: [INFO] Add Net-(D6-A) net
13:38:12: [INFO] Add Net-(D7-A) net
13:38:12: [INFO] Add Net-(D8-A) net
13:38:12: [INFO] Add Net-(D9-A) net
13:38:12: [INFO] Add ROW0 net
13:38:12: [INFO] Add ROW1 net
13:38:12: [INFO] Add ROW2 net
13:38:12: [INFO] Add ROW3 net
13:38:12: [INFO] Add SW1 footprint
13:38:12: [INFO] Add D1 footprint
13:38:12: [INFO] Add SW2 footprint
13:38:12: [INFO] Add D2 footprint
13:38:12: [INFO] Add SW3 footprint
13:38:12: [INFO] Add D3 footprint
13:38:12: [INFO] Add SW4 footprint
13:38:12: [INFO] Add D4 footprint
13:38:12: [INFO] Add SW5 footprint
13:38:12: [INFO] Add D5 footprint
13:38:12: [INFO] Add SW6 footprint
13:38:12: [INFO] Add D6 footprint
13:38:12: [INFO] Add SW7 footprint
13:38:12: [INFO] Add D7 footprint
13:38:12: [INFO] Add SW8 footprint
13:38:12: [INFO] Add D8 footprint
13:38:13: [INFO] Add SW9 footprint
13:38:13: [INFO] Add D9 footprint
13:38:13: [INFO] Add SW10 footprint
13:38:13: [INFO] Add D10 footprint
13:38:13: [INFO] Add SW11 footprint
13:38:13: [INFO] Add D11 footprint
13:38:13: [INFO] Add SW12 footprint
13:38:13: [INFO] Add D12 footprint
13:38:13: [INFO] Add SW13 footprint
13:38:13: [INFO] Add D13 footprint
13:38:13: [INFO] Add SW14 footprint
13:38:13: [INFO] Add D14 footprint
13:38:13: [INFO] Add SW15 footprint
13:38:13: [INFO] Add D15 footprint
13:38:13: [INFO] Add SW16 footprint
13:38:13: [INFO] Add D16 footprint
13:38:13: [INFO] Add SW17 footprint
13:38:13: [INFO] Add D17 footprint
13:38:13: [INFO] Add SW18 footprint
13:38:13: [INFO] Add D18 footprint
13:38:13: [INFO] Add SW19 footprint
13:38:13: [INFO] Add D19 footprint
13:38:13: [INFO] Add SW20 footprint
13:38:13: [INFO] Add D20 footprint
13:38:13: [INFO] Add SW21 footprint
13:38:13: [INFO] Add D21 footprint
13:38:13: [INFO] Add SW22 footprint
13:38:13: [INFO] Add D22 footprint
13:38:13: [INFO] Add SW23 footprint
13:38:13: [INFO] Add D23 footprint
13:38:13: [INFO] Add SW24 footprint
13:38:13: [INFO] Add D24 footprint
13:38:13: [INFO] Add SW25 footprint
13:38:13: [INFO] Add D25 footprint
13:38:13: [INFO] Add SW26 footprint
13:38:13: [INFO] Add D26 footprint
13:38:13: [INFO] Add SW27 footprint
13:38:13: [INFO] Add D27 footprint
13:38:14: [INFO] Add SW28 footprint
13:38:14: [INFO] Add D28 footprint
13:38:14: [INFO] Add SW29 footprint
13:38:14: [INFO] Add D29 footprint
13:38:14: [INFO] Add SW30 footprint
13:38:14: [INFO] Add D30 footprint
13:38:14: [INFO] Add SW31 footprint
13:38:14: [INFO] Add D31 footprint
13:38:14: [INFO] Add SW32 footprint
13:38:14: [INFO] Add D32 footprint
13:38:14: [INFO] Add SW33 footprint
13:38:14: [INFO] Add D33 footprint
13:38:14: [INFO] Add SW34 footprint
13:38:14: [INFO] Add D34 footprint
13:38:14: [INFO] Add SW35 footprint
13:38:14: [INFO] Add D35 footprint
13:38:14: [INFO] Add SW36 footprint
13:38:14: [INFO] Add D36 footprint
13:38:14: [INFO] Add SW37 footprint
13:38:14: [INFO] Add D37 footprint
13:38:14: [INFO] Add SW38 footprint
13:38:14: [INFO] Add D38 footprint
13:38:14: [INFO] Add SW39 footprint
13:38:14: [INFO] Add D39 footprint
13:38:14: [INFO] Add SW40 footprint
13:38:14: [INFO] Add D40 footprint
13:38:14: [INFO] Add SW41 footprint
13:38:14: [INFO] Add D41 footprint
13:38:14: [INFO] Add SW42 footprint
13:38:14: [INFO] Add D42 footprint
13:38:14: [INFO] Add SW43 footprint
13:38:14: [INFO] Add D43 footprint
13:38:14: [INFO] Add SW44 footprint
13:38:14: [INFO] Add D44 footprint
13:38:14: [INFO] Detected layout convertible to matrix annotated keyboard
13:38:14: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:38:14: [INFO] Layout offset: (28575000, 23812500)
13:38:14: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:38:14: [INFO] Placing additional elements for SW44
13:38:14: [INFO] Placing additional elements for SW43
13:38:14: [INFO] Placing additional elements for SW42
13:38:14: [INFO] Placing additional elements for SW41
13:38:14: [INFO] Placing additional elements for SW40
13:38:14: [INFO] Placing additional elements for SW39
13:38:14: [INFO] Placing additional elements for SW38
13:38:14: [INFO] Placing additional elements for SW37
13:38:14: [INFO] Placing additional elements for SW36
13:38:14: [INFO] Placing additional elements for SW35
13:38:14: [INFO] Placing additional elements for SW34
13:38:14: [INFO] Placing additional elements for SW33
13:38:14: [INFO] Placing additional elements for SW32
13:38:14: [INFO] Placing additional elements for SW31
13:38:14: [INFO] Placing additional elements for SW30
13:38:14: [INFO] Placing additional elements for SW29
13:38:14: [INFO] Placing additional elements for SW28
13:38:14: [INFO] Placing additional elements for SW27
13:38:14: [INFO] Placing additional elements for SW26
13:38:14: [INFO] Placing additional elements for SW25
13:38:14: [INFO] Placing additional elements for SW24
13:38:14: [INFO] Placing additional elements for SW23
13:38:14: [INFO] Placing additional elements for SW22
13:38:14: [INFO] Placing additional elements for SW21
13:38:14: [INFO] Placing additional elements for SW20
13:38:14: [INFO] Placing additional elements for SW19
